Season	Site	Occ1	Occ2	SVL	TL	Sex	Cap	Ind
Spring	P1A	1	17	38	75	M	R	BROYP1A
Spring	P1A	1	17	42	81	F	R	BBxRP1A
Spring	P1A	1	17	36	67	F	R	OYYYP1A
Spring	P1A	1	17	42	67	M	R	BxYBP1A
Spring	P1A	1	17	38	57	F	R	YRYYP1A
Spring	P1A	1	17	41	84	U	R	RBOBP1A
Spring	P1A	1	17	42	75	M	R	BBxRP1A
Spring	P1A	1	17	40	76	M	R	YYxOP1A
Spring	P1A	1	17	40	81	F	R	xRBxP1A
Spring	P1A	1	17	41	76	M	R	YYxBP1A
Spring	P1A	1	17	42	73	F	N	YOOOP1A
Spring	P1A	1	17	34	67	U	N	xBYBP1A
Spring	P1A	1	17	29	51	U	N	xRYxP1A
Spring	P1A	1	17	41	79	M	N	YBBOP1A
Spring	P1A	1	17	41	57	F	N	YOYOP1A
Spring	P1A	1	17	29	52	U	N	xBOBP1A
Spring	P1A	1	17	36	76	F	N	BRYxP1A
Spring	P1A	1	17	34	50	M	N	YBxYP1A
Spring	P1A	1	17	42	79	F	N	ORRxP1A
Spring	P1A	1	17	42	89	M	N	BROYP1A
