site,year,spp,mig.stat,n.terr
tuttlenorth,2007,NOCA,resi,3.75
tuttlesouth,2007,NOCA,resi,6.5
woodside,2007,NOCA,resi,1.75
casto,2008,NOCA,resi,2.5
cherry,2008,NOCA,resi,3
creeks,2008,NOCA,resi,1.5
elkrun,2008,NOCA,resi,4
galena,2008,NOCA,resi,1.25
kennynorth,2008,NOCA,resi,8.5
kennysouth,2008,NOCA,resi,5
lounorth,2008,NOCA,resi,2.25
lousouth,2008,NOCA,resi,3.75
prairie,2008,NOCA,resi,2
pubhunt,2008,NOCA,resi,2
rushrunnorth,2008,NOCA,resi,3
rushrunsouth,2008,NOCA,resi,3.75
sgalena,2008,NOCA,resi,2
tuttlenorth,2008,NOCA,resi,2.25
tuttlesouth,2008,NOCA,resi,4.5
woodside,2008,NOCA,resi,1.5
casto,2009,NOCA,resi,3.5
cherry,2009,NOCA,resi,3.5
creeks,2009,NOCA,resi,2.5
elkrun,2009,NOCA,resi,6.25
galena,2009,NOCA,resi,2
kennynorth,2009,NOCA,resi,10
kennysouth,2009,NOCA,resi,3.75
lounorth,2009,NOCA,resi,2.5
lousouth,2009,NOCA,resi,3.5
prairie,2009,NOCA,resi,1.5
pubhunt,2009,NOCA,resi,1.5
rushrunnorth,2009,NOCA,resi,4.5
rushrunsouth,2009,NOCA,resi,4.25
sgalena,2009,NOCA,resi,1.75
tuttlenorth,2009,NOCA,resi,2
tuttlesouth,2009,NOCA,resi,3.25
woodside,2009,NOCA,resi,2.5
casto,2010,NOCA,resi,3.5
cherry,2010,NOCA,resi,3.25
creeks,2010,NOCA,resi,2.75
elkrun,2010,NOCA,resi,4.5
galena,2010,NOCA,resi,2
kennynorth,2010,NOCA,resi,12.5
kennysouth,2010,NOCA,resi,5.5
lounorth,2010,NOCA,resi,4.75
lousouth,2010,NOCA,resi,2.75
prairie,2010,NOCA,resi,2.75
pubhunt,2010,NOCA,resi,2
rushrunnorth,2010,NOCA,resi,4.75
rushrunsouth,2010,NOCA,resi,4
sgalena,2010,NOCA,resi,1.5
tuttlenorth,2010,NOCA,resi,1.5
tuttlesouth,2010,NOCA,resi,3.5
woodside,2010,NOCA,resi,2.75
casto,2005,AMRO,short,2.5
cherry,2005,AMRO,short,1
creeks,2005,AMRO,short,2.75
elkrun,2005,AMRO,short,2.25
galena,2005,AMRO,short,2
kennynorth,2005,AMRO,short,3
kennysouth,2005,AMRO,short,2
lounorth,2005,AMRO,short,2
lousouth,2005,AMRO,short,5
prairie,2005,AMRO,short,1
pubhunt,2005,AMRO,short,3
