hr.size	sex	site	nobs	ndays	urban0.50	upland0.50	wetland0.50	urban1.50	upland1.50	wetland1.50
102.5149927	FEMALE	Brevard	34	538	0	0.747918461	0.234567901	0	0.68385346	0.289171028
99.19280856	MALE	Brevard	24	446	0.078954924	0.548952053	0.374677003	0.234315436	0.471279964	0.297376753
412.319837	MALE	Avonpark	23	286	0	0.417743325	0.572782084	0	0.569231763	0.438521677
1130.252252	MALE	Brevard	64	1106	0	0.468848694	0.44071203	0.008787233	0.424080894	0.53288751
99.14098684	FEMALE	Avonpark	57	584	0	0.72150445	0.264427218	0	0.504942818	0.503456742
90.42405307	MALE	Brevard	35	335	0.286247488	0.115991961	0.238874533	0.396653098	0.094979647	0.090682949
352.8785725	MALE	Brevard	13	293	0.029285099	0.887166236	0.025839793	0.131194676	0.809265362	0.023098792
223.3321057	MALE	Brevard	58	731	0.401378122	0.183462532	0.209876543	0.447502746	0.104509918	0.089423015
409.0322971	MALE	Brevard	31	638	0.020958943	0.408268734	0.450186621	0.012567035	0.608192802	0.333559475
748.2687806	MALE	Avonpark	52	513	0	0.716049383	0.285960379	0	0.698358855	0.315306584
107.7930494	FEMALE	Brevard	18	342	0.019236291	0.245478036	0.066322136	0.132713058	0.173644763	0.126574918
309.8465299	MALE	Brevard	108	849	0	0.645420614	0.134366925	0.027007818	0.684919558	0.182690444
237.0731439	FEMALE	Brevard	65	1086	0	0.515360322	0.321848981	0.008787233	0.44811656	0.503909026
72.82625156	FEMALE	Brevard	86	655	0	0.746195808	0.067183463	0.008884151	0.717419397	0.146443109
18.36810743	FEMALE	Brevard	41	445	0.428079242	0.194372667	0.073499856	0.53272598	0.118336887	0.118175357
126.894048	FEMALE	Avonpark	32	605	0.117427505	0.842090152	0.000287109	0.05462945	0.859985785	0.073851522
79.62005505	FEMALE	Avonpark	63	562	0	0.813379271	0.140109101	0.010854817	0.461749693	0.532370614
216.6935711	MALE	Brevard	66	672	0.079242033	0.713465403	0.129773184	0.096271887	0.484880791	0.294598436
230.5690936	FEMALE	Brevard	23	362	0	0.412001148	0.491243181	0.008787233	0.379498611	0.577082122
203.7791413	MALE	Brevard	41	593	0	0.534596612	0.390180879	0	0.485397687	0.49418492
47.87749416	FEMALE	Brevard	81	504	0.742176285	0.132644272	0.115417743	0.598501001	0.256929638	0.155908768
277.734396	MALE	Avonpark	66	588	0	0.78696526	0.204421476	0	0.665665181	0.302254959
98.09778618	MALE	Highlands	97	261	0.000287109	0.456790123	0.253517083	0.000226142	0.455062351	0.36883763
41.89004208	FEMALE	Highlands	107	265	0	0.21073787	0.318403675	0	0.16404988	0.086580087
700.4947424	MALE	Highlands	141	473	0	0.86936549	0.134079816	0	0.531207598	0.2152872
126.7334264	FEMALE	Highlands	140	367	0	0.747918461	0.002583979	0.063998191	0.44181689	0.036118111
34.32312447	FEMALE	Highlands	264	765	0	0.489807637	0.127189205	0.088583059	0.334560961	0.20834141
125.7047147	MALE	Highlands	124	377	0	0.672983061	0.329026701	0.004102862	0.6313239	0.241422756
376.7526191	MALE	Highlands	151	519	0	0.345966121	0.320700546	0	0.160108548	0.116721587
250.8470802	MALE	Highlands	82	258	0	0.365489521	0.076083836	0	0.317826452	0.329327389
595.1685824	MALE	Highlands	211	548	0	0.339649727	0.497272466	0	0.204044712	0.291206306
168.8866474	FEMALE	Highlands	198	533	0.006890612	0.74102785	0.255239736	0.004102862	0.802642631	0.183110422
351.3210997	MALE	Highlands	93	258	0	0.489520528	0.513924777	0.023228016	0.485623829	0.234186212
41.61982727	FEMALE	Highlands	166	465	0	0.248062016	0.268446741	0	0.403889643	0.312172902
401.3529563	MALE	Highlands	90	269	0	0.770312949	0.232271031	0.012437811	0.810751438	0.165180591
507.6661547	MALE	Highlands	123	380	0.029285099	0.48664944	0.088142406	0.004232086	0.642211023	0.142178717
308.4976264	MALE	Highlands	111	301	0	0.232845248	0.146712604	0	0.110906506	0.174290883
135.6472016	MALE	Highlands	199	608	0	0.050244042	0.408268734	0	0.325644505	0.373522
30.20048758	FEMALE	Highlands	79	266	0	0.310364628	0.407694516	0	0.261226336	0.469664664
56.64819733	FEMALE	Highlands	113	326	0	0.522250933	0.233706575	0	0.175680041	0.200361827
